"iv_malla_modi_id","lng","lat","poblacion"
142799,-3.2653977048134,37.1964115002029,1
142800,-3.26278232147106,37.1964115002029,1
142801,-3.26016693812872,37.1964115002029,1
142802,-3.25755155478638,37.1964115002029,1
142803,-3.25493617144404,37.1964115002029,1
142804,-3.2523207881017,37.1964115002029,1
142805,-3.24970540475935,37.1964115002029,1
142806,-3.24709002141701,37.1964115002029,1
142807,-3.24447463807467,37.1964115002029,1
143477,-3.26792290907797,37.1943281700917,1
143478,-3.26530759790574,37.1943281700917,1
143479,-3.2626922867335,37.1943281700917,1
143480,-3.26007697556127,37.1943281700917,1
143481,-3.25746166438904,37.1943281700917,1
143482,-3.2548463532168,37.1943281700917,1
143483,-3.25223104204457,37.1943281700917,1
143484,-3.24961573087234,37.1943281700917,1
143485,-3.2470004197001,37.1943281700917,1
143486,-3.24438510852787,37.1943281700917,1
143487,-3.24176979735564,37.1943281700917,1
144156,-3.2678327392973,37.1922448399805,1
144157,-3.26521750028773,37.1922448399805,1
144158,-3.26260226127817,37.1922448399805,1
144159,-3.2599870222686,37.1922448399805,1
144160,-3.25737178325903,37.1922448399805,1
144161,-3.25475654424947,37.1922448399805,1
144162,-3.2521413052399,37.1922448399805,1
144163,-3.24952606623034,37.1922448399805,1
144164,-3.24691082722077,37.1922448399805,1
144165,-3.24429558821121,37.1922448399805,1
144166,-3.24168034920164,37.1922448399805,1
144167,-3.23906511019207,37.1922448399805,1
144168,-3.23644987118251,37.1922448399805,1
144833,-3.27297291252139,37.1901615098693,1
144834,-3.27035774566705,37.1901615098693,1
144835,-3.26774257881271,37.1901615098693,1
144836,-3.26512741195838,37.1901615098693,1
144837,-3.26251224510404,37.1901615098693,1
144838,-3.2598970782497,37.1901615098693,1
144839,-3.25728191139536,37.1901615098693,1
144840,-3.25466674454102,37.1901615098693,1
144841,-3.25205157768669,37.1901615098693,1
144842,-3.24943641083235,37.1901615098693,1
144843,-3.24682124397801,37.1901615098693,1
144844,-3.24420607712367,37.1901615098693,1
144845,-3.24159091026934,37.1901615098693,1
144846,-3.238975743415,37.1901615098693,1
144847,-3.23636057656066,37.1901615098693,1
145511,-3.27549771174286,37.1880781797581,1
145512,-3.27288261703631,37.1880781797581,1
145513,-3.27026752232976,37.1880781797581,1
145514,-3.26765242762321,37.1880781797581,1
145515,-3.26503733291666,37.1880781797581,1
145516,-3.26242223821011,37.1880781797581,1
145517,-3.25980714350357,37.1880781797581,1
145518,-3.25719204879702,37.1880781797581,1
145519,-3.25457695409047,37.1880781797581,1
145520,-3.25196185938392,37.1880781797581,1
145521,-3.24934676467737,37.1880781797581,1
145522,-3.24673166997082,37.1880781797581,1
145523,-3.24411657526427,37.1880781797581,1
145524,-3.24150148055773,37.1880781797581,1
145525,-3.23888638585118,37.1880781797581,1
145526,-3.23627129114463,37.1880781797581,1
146190,-3.27540735342638,37.1859948496469,1
146191,-3.27279233086018,37.1859948496469,1
146192,-3.27017730829398,37.1859948496469,1
146193,-3.26756228572778,37.1859948496469,1
146194,-3.26494726316159,37.1859948496469,1
146195,-3.26233224059539,37.1859948496469,1
146196,-3.25971721802919,37.1859948496469,1
146197,-3.25710219546299,37.1859948496469,1
146198,-3.2544871728968,37.1859948496469,1
146199,-3.2518721503306,37.1859948496469,1
146200,-3.2492571277644,37.1859948496469,1
146201,-3.2466421051982,37.1859948496469,1
146202,-3.24402708263201,37.1859948496469,1
146203,-3.24141206006581,37.1859948496469,1
146204,-3.23879703749961,37.1859948496469,1
146205,-3.23618201493341,37.1859948496469,1
146868,-3.27793195485856,37.1839115195357,1
146869,-3.27531700442527,37.1839115195357,1
146870,-3.27270205399199,37.1839115195357,1
146871,-3.27008710355871,37.1839115195357,1
146872,-3.26747215312542,37.1839115195357,1
146873,-3.26485720269214,37.1839115195357,1
146874,-3.26224225225886,37.1839115195357,1
146875,-3.25962730182557,37.1839115195357,1
146876,-3.25701235139229,37.1839115195357,1
146877,-3.25439740095901,37.1839115195357,1
146878,-3.25178245052572,37.1839115195357,1
146879,-3.24916750009244,37.1839115195357,1
146880,-3.24655254965915,37.1839115195357,1
146881,-3.24393759922587,37.1839115195357,1
146882,-3.24132264879259,37.1839115195357,1
146883,-3.2387076983593,37.1839115195357,1
146884,-3.23609274792602,37.1839115195357,1
147547,-3.27784154304635,37.1818281894245,1
147548,-3.27522666473854,37.1818281894245,1
147549,-3.27261178643073,37.1818281894245,1
147550,-3.26999690812293,37.1818281894245,1
147551,-3.26738202981512,37.1818281894245,1
147552,-3.26476715150732,37.1818281894245,1
147553,-3.26215227319951,37.1818281894245,1
147554,-3.2595373948917,37.1818281894245,1
147555,-3.2569225165839,37.1818281894245,1
147556,-3.25430763827609,37.1818281894245,1
147557,-3.25169275996829,37.1818281894245,1
147558,-3.24907788166048,37.1818281894245,1
147559,-3.24646300335267,37.1818281894245,1
147560,-3.24384812504487,37.1818281894245,1
147561,-3.24123324673706,37.1818281894245,1
147562,-3.23861836842926,37.1818281894245,1
148227,-3.27513633436517,37.1797448593133,1
148228,-3.2725215281754,37.1797448593133,1
148229,-3.26990672198564,37.1797448593133,1
148230,-3.26729191579587,37.1797448593133,1
148231,-3.26467710960611,37.1797448593133,1
148232,-3.26206230341635,37.1797448593133,1
148233,-3.25944749722658,37.1797448593133,1
148234,-3.25683269103682,37.1797448593133,1
148235,-3.25421788484705,37.1797448593133,1
148236,-3.25160307865729,37.1797448593133,1
148237,-3.24898827246753,37.1797448593133,1
148238,-3.24637346627776,37.1797448593133,1
148239,-3.243758660088,37.1797448593133,1
